out_msg=None: in_msg=[src=0, dest=21, size=2, addr=5440, type=GET_INSTR]: delay=0
out_msg=[src=0, dest=21, size=2, addr=5440, type=GET_INSTR]: in_msg=[src=21, dest=0, size=5, addr=5440, type=DATA]: delay=72
out_msg=[src=21, dest=0, size=5, addr=5440, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=2211328, type=GETS]: delay=10
out_msg=[src=0, dest=56, size=2, addr=2211328, type=GETS]: in_msg=[src=56, dest=58, size=2, addr=2211328, type=GETS]: delay=4
out_msg=[src=56, dest=58, size=2, addr=2211328, type=GETS]: in_msg=[src=58, dest=56, size=5, addr=2211328, type=MEMORY_DATA]: delay=65
out_msg=[src=58, dest=56, size=5, addr=2211328, type=MEMORY_DATA]: in_msg=[src=56, dest=0, size=5, addr=2211328, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=56, dest=0, size=5, addr=2211328, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=56, size=2, addr=2211328, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=56, dest=0, size=5, addr=2211328, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=22, size=2, addr=5504, type=GET_INSTR]: delay=22
out_msg=[src=0, dest=22, size=2, addr=5504, type=GET_INSTR]: in_msg=[src=22, dest=0, size=5, addr=5504, type=DATA]: delay=72
out_msg=[src=22, dest=0, size=5, addr=5504, type=DATA]: in_msg=[src=0, dest=24, size=2, addr=95744, type=GET_INSTR]: delay=18
out_msg=[src=0, dest=24, size=2, addr=95744, type=GET_INSTR]: in_msg=[src=24, dest=0, size=5, addr=95744, type=DATA]: delay=72
out_msg=[src=24, dest=0, size=5, addr=95744, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=2211264, type=GETX]: delay=16
out_msg=[src=0, dest=55, size=2, addr=2211264, type=GETX]: in_msg=[src=55, dest=53, size=2, addr=2211264, type=GETS]: delay=4
out_msg=[src=55, dest=53, size=2, addr=2211264, type=GETS]: in_msg=[src=53, dest=55, size=5, addr=2211264, type=MEMORY_DATA]: delay=65
out_msg=[src=53, dest=55, size=5, addr=2211264, type=MEMORY_DATA]: in_msg=[src=55, dest=0, size=5, addr=2211264, type=DATA]: delay=3
out_msg=[src=55, dest=0, size=5, addr=2211264, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=2211264, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=55, dest=0, size=5, addr=2211264, type=DATA]: in_msg=[src=0, dest=25, size=2, addr=95808, type=GET_INSTR]: delay=10
out_msg=[src=0, dest=25, size=2, addr=95808, type=GET_INSTR]: in_msg=[src=25, dest=0, size=5, addr=95808, type=DATA]: delay=72
out_msg=[src=25, dest=0, size=5, addr=95808, type=DATA]: in_msg=[src=0, dest=53, size=2, addr=2211136, type=GETX]: delay=26
out_msg=[src=0, dest=53, size=2, addr=2211136, type=GETX]: in_msg=[src=53, dest=55, size=2, addr=2211136, type=GETS]: delay=4
out_msg=[src=53, dest=55, size=2, addr=2211136, type=GETS]: in_msg=[src=55, dest=53, size=5, addr=2211136, type=MEMORY_DATA]: delay=65
out_msg=[src=55, dest=53, size=5, addr=2211136, type=MEMORY_DATA]: in_msg=[src=53, dest=0, size=5, addr=2211136, type=DATA]: delay=3
out_msg=[src=53, dest=0, size=5, addr=2211136, type=DATA]: in_msg=[src=0, dest=53, size=2, addr=2211136, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=53, dest=0, size=5, addr=2211136, type=DATA]: in_msg=[src=0, dest=36, size=2, addr=96512, type=GET_INSTR]: delay=20
out_msg=[src=0, dest=36, size=2, addr=96512, type=GET_INSTR]: in_msg=[src=36, dest=0, size=5, addr=96512, type=DATA]: delay=72
out_msg=[src=36, dest=0, size=5, addr=96512, type=DATA]: in_msg=[src=0, dest=34, size=2, addr=1050752, type=GETX]: delay=10
out_msg=[src=0, dest=34, size=2, addr=1050752, type=GETX]: in_msg=[src=34, dest=35, size=2, addr=1050752, type=GETS]: delay=4
out_msg=[src=34, dest=35, size=2, addr=1050752, type=GETS]: in_msg=[src=35, dest=34, size=5, addr=1050752, type=MEMORY_DATA]: delay=65
out_msg=[src=35, dest=34, size=5, addr=1050752, type=MEMORY_DATA]: in_msg=[src=34, dest=0, size=5, addr=1050752, type=DATA]: delay=3
out_msg=[src=34, dest=0, size=5, addr=1050752, type=DATA]: in_msg=[src=0, dest=34, size=2, addr=1050752, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=34, dest=0, size=5, addr=1050752, type=DATA]: in_msg=[src=0, dest=26, size=2, addr=95872, type=GET_INSTR]: delay=14
out_msg=[src=0, dest=26, size=2, addr=95872, type=GET_INSTR]: in_msg=[src=26, dest=0, size=5, addr=95872, type=DATA]: delay=72
out_msg=[src=26, dest=0, size=5, addr=95872, type=DATA]: in_msg=[src=0, dest=62, size=2, addr=1044352, type=GETX]: delay=20
out_msg=[src=0, dest=62, size=2, addr=1044352, type=GETX]: in_msg=[src=62, dest=0, size=5, addr=1044352, type=DATA]: delay=72
out_msg=[src=62, dest=0, size=5, addr=1044352, type=DATA]: in_msg=[src=0, dest=62, size=2, addr=1044352, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=62, dest=0, size=5, addr=1044352, type=DATA]: in_msg=[src=0, dest=28, size=2, addr=1070848, type=GETX]: delay=10
out_msg=[src=0, dest=28, size=2, addr=1070848, type=GETX]: in_msg=[src=28, dest=29, size=2, addr=1070848, type=GETS]: delay=4
out_msg=[src=28, dest=29, size=2, addr=1070848, type=GETS]: in_msg=[src=29, dest=28, size=5, addr=1070848, type=MEMORY_DATA]: delay=65
out_msg=[src=29, dest=28, size=5, addr=1070848, type=MEMORY_DATA]: in_msg=[src=28, dest=0, size=5, addr=1070848, type=DATA]: delay=3
out_msg=[src=28, dest=0, size=5, addr=1070848, type=DATA]: in_msg=[src=0, dest=28, size=2, addr=1070848, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=28, dest=0, size=5, addr=1070848, type=DATA]: in_msg=[src=0, dest=6, size=2, addr=377216, type=GET_INSTR]: delay=22
out_msg=[src=0, dest=6, size=2, addr=377216, type=GET_INSTR]: in_msg=[src=6, dest=0, size=5, addr=377216, type=DATA]: delay=72
out_msg=[src=6, dest=0, size=5, addr=377216, type=DATA]: in_msg=[src=0, dest=57, size=2, addr=2211392, type=GETS]: delay=6
out_msg=[src=0, dest=57, size=2, addr=2211392, type=GETS]: in_msg=[src=57, dest=59, size=2, addr=2211392, type=GETS]: delay=4
out_msg=[src=57, dest=59, size=2, addr=2211392, type=GETS]: in_msg=[src=59, dest=57, size=5, addr=2211392, type=MEMORY_DATA]: delay=65
out_msg=[src=59, dest=57, size=5, addr=2211392, type=MEMORY_DATA]: in_msg=[src=57, dest=0, size=5, addr=2211392, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=57, dest=0, size=5, addr=2211392, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=57, size=2, addr=2211392, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=57, dest=0, size=5, addr=2211392, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=46, size=2, addr=2202496, type=GETX]: delay=10
out_msg=[src=0, dest=46, size=2, addr=2202496, type=GETX]: in_msg=[src=46, dest=44, size=2, addr=2202496, type=GETS]: delay=4
out_msg=[src=46, dest=44, size=2, addr=2202496, type=GETS]: in_msg=[src=44, dest=46, size=5, addr=2202496, type=MEMORY_DATA]: delay=65
out_msg=[src=44, dest=46, size=5, addr=2202496, type=MEMORY_DATA]: in_msg=[src=46, dest=0, size=5, addr=2202496, type=DATA]: delay=3
out_msg=[src=46, dest=0, size=5, addr=2202496, type=DATA]: in_msg=[src=0, dest=46, size=2, addr=2202496, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=46, dest=0, size=5, addr=2202496, type=DATA]: in_msg=[src=0, dest=11, size=2, addr=1049280, type=GETS]: delay=28
out_msg=[src=0, dest=11, size=2, addr=1049280, type=GETS]: in_msg=[src=11, dest=10, size=2, addr=1049280, type=GETS]: delay=4
out_msg=[src=11, dest=10, size=2, addr=1049280, type=GETS]: in_msg=[src=10, dest=11, size=5, addr=1049280, type=MEMORY_DATA]: delay=65
out_msg=[src=10, dest=11, size=5, addr=1049280, type=MEMORY_DATA]: in_msg=[src=11, dest=0, size=5, addr=1049280, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=11, dest=0, size=5, addr=1049280, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=11, size=2, addr=1049280, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=11, dest=0, size=5, addr=1049280, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=47, size=2, addr=2202560, type=GETS]: delay=10
out_msg=[src=0, dest=47, size=2, addr=2202560, type=GETS]: in_msg=[src=47, dest=45, size=2, addr=2202560, type=GETS]: delay=4
out_msg=[src=47, dest=45, size=2, addr=2202560, type=GETS]: in_msg=[src=45, dest=47, size=5, addr=2202560, type=MEMORY_DATA]: delay=65
out_msg=[src=45, dest=47, size=5, addr=2202560, type=MEMORY_DATA]: in_msg=[src=47, dest=0, size=5, addr=2202560, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=47, dest=0, size=5, addr=2202560, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=47, size=2, addr=2202560, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=47, dest=0, size=5, addr=2202560, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=52, size=2, addr=2211072, type=GETX]: delay=10
out_msg=[src=0, dest=52, size=2, addr=2211072, type=GETX]: in_msg=[src=52, dest=54, size=2, addr=2211072, type=GETS]: delay=4
out_msg=[src=52, dest=54, size=2, addr=2211072, type=GETS]: in_msg=[src=54, dest=52, size=5, addr=2211072, type=MEMORY_DATA]: delay=65
out_msg=[src=54, dest=52, size=5, addr=2211072, type=MEMORY_DATA]: in_msg=[src=52, dest=0, size=5, addr=2211072, type=DATA]: delay=3
out_msg=[src=52, dest=0, size=5, addr=2211072, type=DATA]: in_msg=[src=0, dest=52, size=2, addr=2211072, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=52, dest=0, size=5, addr=2211072, type=DATA]: in_msg=[src=0, dest=7, size=2, addr=377280, type=GET_INSTR]: delay=18
out_msg=[src=0, dest=7, size=2, addr=377280, type=GET_INSTR]: in_msg=[src=7, dest=0, size=5, addr=377280, type=DATA]: delay=72
out_msg=[src=7, dest=0, size=5, addr=377280, type=DATA]: in_msg=[src=0, dest=48, size=2, addr=2202624, type=GETS]: delay=16
out_msg=[src=0, dest=48, size=2, addr=2202624, type=GETS]: in_msg=[src=48, dest=50, size=2, addr=2202624, type=GETS]: delay=4
