out_msg=None: in_msg=[src=0, dest=10, size=2, addr=168576, type=GET_INSTR]: delay=0
out_msg=[src=0, dest=10, size=2, addr=168576, type=GET_INSTR]: in_msg=[src=10, dest=0, size=5, addr=168576, type=DATA]: delay=72
out_msg=[src=10, dest=0, size=5, addr=168576, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=282112, type=GETX]: delay=8
out_msg=[src=0, dest=56, size=2, addr=282112, type=GETX]: in_msg=[src=56, dest=0, size=5, addr=282112, type=DATA]: delay=72
out_msg=[src=56, dest=0, size=5, addr=282112, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=282112, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=56, dest=0, size=5, addr=282112, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=282048, type=GETX]: delay=100
out_msg=[src=0, dest=55, size=2, addr=282048, type=GETX]: in_msg=[src=55, dest=0, size=5, addr=282048, type=DATA]: delay=72
out_msg=[src=55, dest=0, size=5, addr=282048, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=282048, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=55, dest=0, size=5, addr=282048, type=DATA]: in_msg=[src=0, dest=1, size=2, addr=172096, type=GET_INSTR]: delay=10
out_msg=[src=0, dest=1, size=2, addr=172096, type=GET_INSTR]: in_msg=[src=1, dest=0, size=5, addr=172096, type=DATA]: delay=72
out_msg=[src=1, dest=0, size=5, addr=172096, type=DATA]: in_msg=[src=0, dest=54, size=2, addr=281984, type=GETX]: delay=12
out_msg=[src=0, dest=54, size=2, addr=281984, type=GETX]: in_msg=[src=54, dest=0, size=5, addr=281984, type=DATA]: delay=72
out_msg=[src=54, dest=0, size=5, addr=281984, type=DATA]: in_msg=[src=0, dest=54, size=2, addr=281984, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=54, dest=0, size=5, addr=281984, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=273920, type=GETX]: delay=16
out_msg=[src=0, dest=56, size=2, addr=273920, type=GETX]: in_msg=[src=56, dest=0, size=5, addr=273920, type=DATA]: delay=72
