out_msg=None: in_msg=[src=0, dest=10, size=2, addr=4736, type=GET_INSTR]: delay=0
out_msg=[src=0, dest=10, size=2, addr=4736, type=GET_INSTR]: in_msg=[src=10, dest=0, size=5, addr=4736, type=DATA]: delay=72
out_msg=[src=10, dest=0, size=5, addr=4736, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=1846784, type=GETS]: delay=10
out_msg=[src=0, dest=56, size=2, addr=1846784, type=GETS]: in_msg=[src=56, dest=57, size=2, addr=1846784, type=GETS]: delay=4
out_msg=[src=56, dest=57, size=2, addr=1846784, type=GETS]: in_msg=[src=57, dest=56, size=5, addr=1846784, type=MEMORY_DATA]: delay=65
out_msg=[src=57, dest=56, size=5, addr=1846784, type=MEMORY_DATA]: in_msg=[src=56, dest=0, size=5, addr=1846784, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=56, dest=0, size=5, addr=1846784, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=56, size=2, addr=1846784, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=56, dest=0, size=5, addr=1846784, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=11, size=2, addr=4800, type=GET_INSTR]: delay=30
out_msg=[src=0, dest=11, size=2, addr=4800, type=GET_INSTR]: in_msg=[src=11, dest=0, size=5, addr=4800, type=DATA]: delay=72
out_msg=[src=11, dest=0, size=5, addr=4800, type=DATA]: in_msg=[src=0, dest=4, size=2, addr=131328, type=GET_INSTR]: delay=10
out_msg=[src=0, dest=4, size=2, addr=131328, type=GET_INSTR]: in_msg=[src=4, dest=0, size=5, addr=131328, type=DATA]: delay=72
out_msg=[src=4, dest=0, size=5, addr=131328, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=1846720, type=GETX]: delay=16
out_msg=[src=0, dest=55, size=2, addr=1846720, type=GETX]: in_msg=[src=55, dest=54, size=2, addr=1846720, type=GETS]: delay=4
out_msg=[src=55, dest=54, size=2, addr=1846720, type=GETS]: in_msg=[src=54, dest=55, size=5, addr=1846720, type=MEMORY_DATA]: delay=65
out_msg=[src=54, dest=55, size=5, addr=1846720, type=MEMORY_DATA]: in_msg=[src=55, dest=0, size=5, addr=1846720, type=DATA]: delay=3
out_msg=[src=55, dest=0, size=5, addr=1846720, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=1846720, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=55, dest=0, size=5, addr=1846720, type=DATA]: in_msg=[src=0, dest=53, size=2, addr=1846592, type=GETX]: delay=32
out_msg=[src=0, dest=53, size=2, addr=1846592, type=GETX]: in_msg=[src=53, dest=52, size=2, addr=1846592, type=GETS]: delay=4
out_msg=[src=53, dest=52, size=2, addr=1846592, type=GETS]: in_msg=[src=52, dest=53, size=5, addr=1846592, type=MEMORY_DATA]: delay=65
out_msg=[src=52, dest=53, size=5, addr=1846592, type=MEMORY_DATA]: in_msg=[src=53, dest=0, size=5, addr=1846592, type=DATA]: delay=3
out_msg=[src=53, dest=0, size=5, addr=1846592, type=DATA]: in_msg=[src=0, dest=53, size=2, addr=1846592, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=53, dest=0, size=5, addr=1846592, type=DATA]: in_msg=[src=0, dest=5, size=2, addr=131392, type=GET_INSTR]: delay=18
out_msg=[src=0, dest=5, size=2, addr=131392, type=GET_INSTR]: in_msg=[src=5, dest=0, size=5, addr=131392, type=DATA]: delay=72
out_msg=[src=5, dest=0, size=5, addr=131392, type=DATA]: in_msg=[src=0, dest=15, size=2, addr=132032, type=GET_INSTR]: delay=6
out_msg=[src=0, dest=15, size=2, addr=132032, type=GET_INSTR]: in_msg=[src=15, dest=0, size=5, addr=132032, type=DATA]: delay=72
out_msg=[src=15, dest=0, size=5, addr=132032, type=DATA]: in_msg=[src=0, dest=36, size=2, addr=1128704, type=GETX]: delay=10
out_msg=[src=0, dest=36, size=2, addr=1128704, type=GETX]: in_msg=[src=36, dest=37, size=2, addr=1128704, type=GETS]: delay=4
out_msg=[src=36, dest=37, size=2, addr=1128704, type=GETS]: in_msg=[src=37, dest=36, size=5, addr=1128704, type=MEMORY_DATA]: delay=65
out_msg=[src=37, dest=36, size=5, addr=1128704, type=MEMORY_DATA]: in_msg=[src=36, dest=0, size=5, addr=1128704, type=DATA]: delay=3
out_msg=[src=36, dest=0, size=5, addr=1128704, type=DATA]: in_msg=[src=0, dest=36, size=2, addr=1128704, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=36, dest=0, size=5, addr=1128704, type=DATA]: in_msg=[src=0, dest=62, size=2, addr=1122176, type=GETX]: delay=30
out_msg=[src=0, dest=62, size=2, addr=1122176, type=GETX]: in_msg=[src=62, dest=63, size=2, addr=1122176, type=GETS]: delay=4
out_msg=[src=62, dest=63, size=2, addr=1122176, type=GETS]: in_msg=[src=63, dest=62, size=5, addr=1122176, type=MEMORY_DATA]: delay=65
out_msg=[src=63, dest=62, size=5, addr=1122176, type=MEMORY_DATA]: in_msg=[src=62, dest=0, size=5, addr=1122176, type=DATA]: delay=3
out_msg=[src=62, dest=0, size=5, addr=1122176, type=DATA]: in_msg=[src=0, dest=62, size=2, addr=1122176, type=EXCLUSIVE_UNBLOCK]: delay=3
