out_msg=None: in_msg=[src=0, dest=10, size=2, addr=164480, type=GET_INSTR]: delay=0
out_msg=[src=0, dest=10, size=2, addr=164480, type=GET_INSTR]: in_msg=[src=10, dest=0, size=5, addr=164480, type=DATA]: delay=72
out_msg=[src=10, dest=0, size=5, addr=164480, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=278016, type=GETX]: delay=8
out_msg=[src=0, dest=56, size=2, addr=278016, type=GETX]: in_msg=[src=56, dest=0, size=5, addr=278016, type=DATA]: delay=72
out_msg=[src=56, dest=0, size=5, addr=278016, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=278016, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=56, dest=0, size=5, addr=278016, type=DATA]: in_msg=[src=0, dest=1, size=2, addr=168000, type=GET_INSTR]: delay=106
out_msg=[src=0, dest=1, size=2, addr=168000, type=GET_INSTR]: in_msg=[src=1, dest=0, size=5, addr=168000, type=DATA]: delay=72
out_msg=[src=1, dest=0, size=5, addr=168000, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=277952, type=GETX]: delay=6
out_msg=[src=0, dest=55, size=2, addr=277952, type=GETX]: in_msg=[src=55, dest=0, size=5, addr=277952, type=DATA]: delay=72
out_msg=[src=55, dest=0, size=5, addr=277952, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=277952, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=55, dest=0, size=5, addr=277952, type=DATA]: in_msg=[src=0, dest=54, size=2, addr=277888, type=GETX]: delay=10
out_msg=[src=0, dest=54, size=2, addr=277888, type=GETX]: in_msg=[src=54, dest=0, size=5, addr=277888, type=DATA]: delay=72
out_msg=[src=54, dest=0, size=5, addr=277888, type=DATA]: in_msg=[src=0, dest=54, size=2, addr=277888, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=54, dest=0, size=5, addr=277888, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=269824, type=GETX]: delay=16
out_msg=[src=0, dest=56, size=2, addr=269824, type=GETX]: in_msg=[src=56, dest=0, size=5, addr=269824, type=DATA]: delay=72
out_msg=[src=56, dest=0, size=5, addr=269824, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=269824, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=56, dest=0, size=5, addr=269824, type=DATA]: in_msg=[src=0, dest=43, size=2, addr=268992, type=GETX]: delay=12
out_msg=[src=0, dest=43, size=2, addr=268992, type=GETX]: in_msg=[src=43, dest=0, size=5, addr=268992, type=DATA]: delay=72
out_msg=[src=43, dest=0, size=5, addr=268992, type=DATA]: in_msg=[src=0, dest=43, size=2, addr=268992, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=43, dest=0, size=5, addr=268992, type=DATA]: in_msg=[src=0, dest=42, size=2, addr=264832, type=GETX]: delay=18
out_msg=[src=0, dest=42, size=2, addr=264832, type=GETX]: in_msg=[src=42, dest=0, size=5, addr=264832, type=DATA]: delay=72
out_msg=[src=42, dest=0, size=5, addr=264832, type=DATA]: in_msg=[src=0, dest=42, size=2, addr=264832, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=42, dest=0, size=5, addr=264832, type=DATA]: in_msg=[src=0, dest=58, size=2, addr=265856, type=GETS]: delay=8
out_msg=[src=0, dest=58, size=2, addr=265856, type=GETS]: in_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=58, size=2, addr=265856, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=2, size=2, addr=168064, type=GET_INSTR]: delay=8
out_msg=[src=0, dest=2, size=2, addr=168064, type=GET_INSTR]: in_msg=[src=2, dest=0, size=5, addr=168064, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=5, addr=168064, type=DATA]: in_msg=[src=0, dest=44, size=2, addr=269056, type=GETX]: delay=6
out_msg=[src=0, dest=44, size=2, addr=269056, type=GETX]: in_msg=[src=44, dest=0, size=5, addr=269056, type=DATA]: delay=72
out_msg=[src=44, dest=0, size=5, addr=269056, type=DATA]: in_msg=[src=0, dest=44, size=2, addr=269056, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=44, dest=0, size=5, addr=269056, type=DATA]: in_msg=[src=0, dest=3, size=2, addr=168128, type=GET_INSTR]: delay=40
out_msg=[src=0, dest=3, size=2, addr=168128, type=GET_INSTR]: in_msg=[src=3, dest=0, size=5, addr=168128, type=DATA]: delay=72
out_msg=[src=3, dest=0, size=5, addr=168128, type=DATA]: in_msg=[src=0, dest=46, size=2, addr=269184, type=GETX]: delay=10
out_msg=[src=0, dest=46, size=2, addr=269184, type=GETX]: in_msg=[src=46, dest=0, size=5, addr=269184, type=DATA]: delay=72
out_msg=[src=46, dest=0, size=5, addr=269184, type=DATA]: in_msg=[src=0, dest=46, size=2, addr=269184, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=46, dest=0, size=5, addr=269184, type=DATA]: in_msg=[src=0, dest=45, size=2, addr=269120, type=GETX]: delay=24
out_msg=[src=0, dest=45, size=2, addr=269120, type=GETX]: in_msg=[src=45, dest=0, size=5, addr=269120, type=DATA]: delay=72
out_msg=[src=45, dest=0, size=5, addr=269120, type=DATA]: in_msg=[src=0, dest=45, size=2, addr=269120, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=45, dest=0, size=5, addr=269120, type=DATA]: in_msg=[src=0, dest=4, size=2, addr=168192, type=GET_INSTR]: delay=44
out_msg=[src=0, dest=4, size=2, addr=168192, type=GET_INSTR]: in_msg=[src=4, dest=0, size=5, addr=168192, type=DATA]: delay=72
out_msg=[src=4, dest=0, size=5, addr=168192, type=DATA]: in_msg=[src=0, dest=23, size=2, addr=169408, type=GET_INSTR]: delay=14
out_msg=[src=0, dest=23, size=2, addr=169408, type=GET_INSTR]: in_msg=[src=23, dest=0, size=5, addr=169408, type=DATA]: delay=72
out_msg=[src=23, dest=0, size=5, addr=169408, type=DATA]: in_msg=[src=0, dest=54, size=2, addr=269696, type=GETX]: delay=26
out_msg=[src=0, dest=54, size=2, addr=269696, type=GETX]: in_msg=[src=54, dest=0, size=5, addr=269696, type=DATA]: delay=72
out_msg=[src=54, dest=0, size=5, addr=269696, type=DATA]: in_msg=[src=0, dest=54, size=2, addr=269696, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=54, dest=0, size=5, addr=269696, type=DATA]: in_msg=[src=0, dest=59, size=2, addr=265920, type=GETS]: delay=30
out_msg=[src=0, dest=59, size=2, addr=265920, type=GETS]: in_msg=[src=59, dest=0, size=5, addr=265920, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=59, dest=0, size=5, addr=265920, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=59, size=2, addr=265920, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=59, dest=0, size=5, addr=265920, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=60, size=2, addr=265984, type=GETS]: delay=84
out_msg=[src=0, dest=60, size=2, addr=265984, type=GETS]: in_msg=[src=60, dest=0, size=5, addr=265984, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=60, dest=0, size=5, addr=265984, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=60, size=2, addr=265984, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=60, dest=0, size=5, addr=265984, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=47, size=2, addr=269248, type=GETX]: delay=38
out_msg=[src=0, dest=47, size=2, addr=269248, type=GETX]: in_msg=[src=47, dest=0, size=5, addr=269248, type=DATA]: delay=72
out_msg=[src=47, dest=0, size=5, addr=269248, type=DATA]: in_msg=[src=0, dest=47, size=2, addr=269248, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=47, dest=0, size=5, addr=269248, type=DATA]: in_msg=[src=0, dest=61, size=2, addr=266048, type=GETS]: delay=50
out_msg=[src=0, dest=61, size=2, addr=266048, type=GETS]: in_msg=[src=61, dest=0, size=5, addr=266048, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=61, dest=0, size=5, addr=266048, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=61, size=2, addr=266048, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=61, dest=0, size=5, addr=266048, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=49, size=2, addr=269376, type=GETX]: delay=76
out_msg=[src=0, dest=49, size=2, addr=269376, type=GETX]: in_msg=[src=49, dest=0, size=5, addr=269376, type=DATA]: delay=72
out_msg=[src=49, dest=0, size=5, addr=269376, type=DATA]: in_msg=[src=0, dest=49, size=2, addr=269376, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=49, dest=0, size=5, addr=269376, type=DATA]: in_msg=[src=0, dest=62, size=2, addr=266112, type=GETS]: delay=48
out_msg=[src=0, dest=62, size=2, addr=266112, type=GETS]: in_msg=[src=62, dest=0, size=5, addr=266112, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=62, dest=0, size=5, addr=266112, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=62, size=2, addr=266112, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=62, dest=0, size=5, addr=266112, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=51, size=2, addr=269504, type=GETX]: delay=36
