out_msg=None: in_msg=[src=0, dest=10, size=2, addr=164480, type=GET_INSTR, fixed=None]: delay=0
out_msg=[src=0, dest=10, size=2, addr=164480, type=GET_INSTR, fixed=None]: in_msg=[src=10, dest=0, size=2, addr=164480, type=GETS, fixed=des]: delay=4
out_msg=[src=10, dest=0, size=2, addr=164480, type=GETS, fixed=des]: in_msg=[src=0, dest=10, size=5, addr=164480, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=10, size=5, addr=164480, type=MEMORY_DATA, fixed=src]: in_msg=[src=10, dest=0, size=5, addr=164480, type=DATA, fixed=None]: delay=3
out_msg=[src=10, dest=0, size=5, addr=164480, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=278016, type=GETX, fixed=None]: delay=8
out_msg=[src=0, dest=56, size=2, addr=278016, type=GETX, fixed=None]: in_msg=[src=56, dest=0, size=5, addr=278016, type=DATA, fixed=None]: delay=72
out_msg=[src=56, dest=0, size=5, addr=278016, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=278016, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=56, dest=0, size=5, addr=278016, type=DATA, fixed=None]: in_msg=[src=0, dest=1, size=2, addr=168000, type=GET_INSTR, fixed=None]: delay=106
out_msg=[src=0, dest=1, size=2, addr=168000, type=GET_INSTR, fixed=None]: in_msg=[src=1, dest=0, size=2, addr=168000, type=GETS, fixed=des]: delay=4
out_msg=[src=1, dest=0, size=2, addr=168000, type=GETS, fixed=des]: in_msg=[src=0, dest=1, size=5, addr=168000, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=1, size=5, addr=168000, type=MEMORY_DATA, fixed=src]: in_msg=[src=1, dest=0, size=5, addr=168000, type=DATA, fixed=None]: delay=3
out_msg=[src=1, dest=0, size=5, addr=168000, type=DATA, fixed=None]: in_msg=[src=0, dest=55, size=2, addr=277952, type=GETX, fixed=None]: delay=6
out_msg=[src=0, dest=55, size=2, addr=277952, type=GETX, fixed=None]: in_msg=[src=55, dest=63, size=2, addr=277952, type=GETS, fixed=des]: delay=4
out_msg=[src=55, dest=63, size=2, addr=277952, type=GETS, fixed=des]: in_msg=[src=63, dest=55, size=5, addr=277952, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=55, size=5, addr=277952, type=MEMORY_DATA, fixed=src]: in_msg=[src=55, dest=0, size=5, addr=277952, type=DATA, fixed=None]: delay=3
out_msg=[src=55, dest=0, size=5, addr=277952, type=DATA, fixed=None]: in_msg=[src=0, dest=55, size=2, addr=277952, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=55, dest=0, size=5, addr=277952, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=277888, type=GETX, fixed=None]: delay=10
out_msg=[src=0, dest=54, size=2, addr=277888, type=GETX, fixed=None]: in_msg=[src=54, dest=63, size=2, addr=277888, type=GETS, fixed=des]: delay=4
out_msg=[src=54, dest=63, size=2, addr=277888, type=GETS, fixed=des]: in_msg=[src=63, dest=54, size=5, addr=277888, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=54, size=5, addr=277888, type=MEMORY_DATA, fixed=src]: in_msg=[src=54, dest=0, size=5, addr=277888, type=DATA, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=277888, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=277888, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=277888, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=269824, type=GETX, fixed=None]: delay=16
out_msg=[src=0, dest=56, size=2, addr=269824, type=GETX, fixed=None]: in_msg=[src=56, dest=0, size=5, addr=269824, type=DATA, fixed=None]: delay=72
out_msg=[src=56, dest=0, size=5, addr=269824, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=269824, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=56, dest=0, size=5, addr=269824, type=DATA, fixed=None]: in_msg=[src=0, dest=43, size=2, addr=268992, type=GETX, fixed=None]: delay=12
out_msg=[src=0, dest=43, size=2, addr=268992, type=GETX, fixed=None]: in_msg=[src=43, dest=56, size=2, addr=268992, type=GETS, fixed=des]: delay=4
out_msg=[src=43, dest=56, size=2, addr=268992, type=GETS, fixed=des]: in_msg=[src=56, dest=43, size=5, addr=268992, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=43, size=5, addr=268992, type=MEMORY_DATA, fixed=src]: in_msg=[src=43, dest=0, size=5, addr=268992, type=DATA, fixed=None]: delay=3
out_msg=[src=43, dest=0, size=5, addr=268992, type=DATA, fixed=None]: in_msg=[src=0, dest=43, size=2, addr=268992, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=43, dest=0, size=5, addr=268992, type=DATA, fixed=None]: in_msg=[src=0, dest=42, size=2, addr=264832, type=GETX, fixed=None]: delay=18
out_msg=[src=0, dest=42, size=2, addr=264832, type=GETX, fixed=None]: in_msg=[src=42, dest=56, size=2, addr=264832, type=GETS, fixed=des]: delay=4
out_msg=[src=42, dest=56, size=2, addr=264832, type=GETS, fixed=des]: in_msg=[src=56, dest=42, size=5, addr=264832, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=42, size=5, addr=264832, type=MEMORY_DATA, fixed=src]: in_msg=[src=42, dest=0, size=5, addr=264832, type=DATA, fixed=None]: delay=3
out_msg=[src=42, dest=0, size=5, addr=264832, type=DATA, fixed=None]: in_msg=[src=0, dest=42, size=2, addr=264832, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=42, dest=0, size=5, addr=264832, type=DATA, fixed=None]: in_msg=[src=0, dest=58, size=2, addr=265856, type=GETS, fixed=None]: delay=8
out_msg=[src=0, dest=58, size=2, addr=265856, type=GETS, fixed=None]: in_msg=[src=58, dest=56, size=2, addr=265856, type=GETS, fixed=des]: delay=4
out_msg=[src=58, dest=56, size=2, addr=265856, type=GETS, fixed=des]: in_msg=[src=56, dest=58, size=5, addr=265856, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=58, size=5, addr=265856, type=MEMORY_DATA, fixed=src]: in_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=58, size=2, addr=265856, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=2, size=2, addr=168064, type=GET_INSTR, fixed=None]: delay=8
out_msg=[src=0, dest=2, size=2, addr=168064, type=GET_INSTR, fixed=None]: in_msg=[src=2, dest=0, size=2, addr=168064, type=GETS, fixed=des]: delay=4
out_msg=[src=2, dest=0, size=2, addr=168064, type=GETS, fixed=des]: in_msg=[src=0, dest=2, size=5, addr=168064, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=2, size=5, addr=168064, type=MEMORY_DATA, fixed=src]: in_msg=[src=2, dest=0, size=5, addr=168064, type=DATA, fixed=None]: delay=3
out_msg=[src=2, dest=0, size=5, addr=168064, type=DATA, fixed=None]: in_msg=[src=0, dest=44, size=2, addr=269056, type=GETX, fixed=None]: delay=6
out_msg=[src=0, dest=44, size=2, addr=269056, type=GETX, fixed=None]: in_msg=[src=44, dest=63, size=2, addr=269056, type=GETS, fixed=des]: delay=4
out_msg=[src=44, dest=63, size=2, addr=269056, type=GETS, fixed=des]: in_msg=[src=63, dest=44, size=5, addr=269056, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=44, size=5, addr=269056, type=MEMORY_DATA, fixed=src]: in_msg=[src=44, dest=0, size=5, addr=269056, type=DATA, fixed=None]: delay=3
out_msg=[src=44, dest=0, size=5, addr=269056, type=DATA, fixed=None]: in_msg=[src=0, dest=44, size=2, addr=269056, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=44, dest=0, size=5, addr=269056, type=DATA, fixed=None]: in_msg=[src=0, dest=3, size=2, addr=168128, type=GET_INSTR, fixed=None]: delay=40
out_msg=[src=0, dest=3, size=2, addr=168128, type=GET_INSTR, fixed=None]: in_msg=[src=3, dest=0, size=2, addr=168128, type=GETS, fixed=des]: delay=4
out_msg=[src=3, dest=0, size=2, addr=168128, type=GETS, fixed=des]: in_msg=[src=0, dest=3, size=5, addr=168128, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=3, size=5, addr=168128, type=MEMORY_DATA, fixed=src]: in_msg=[src=3, dest=0, size=5, addr=168128, type=DATA, fixed=None]: delay=3
out_msg=[src=3, dest=0, size=5, addr=168128, type=DATA, fixed=None]: in_msg=[src=0, dest=46, size=2, addr=269184, type=GETX, fixed=None]: delay=10
out_msg=[src=0, dest=46, size=2, addr=269184, type=GETX, fixed=None]: in_msg=[src=46, dest=63, size=2, addr=269184, type=GETS, fixed=des]: delay=4
out_msg=[src=46, dest=63, size=2, addr=269184, type=GETS, fixed=des]: in_msg=[src=63, dest=46, size=5, addr=269184, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=46, size=5, addr=269184, type=MEMORY_DATA, fixed=src]: in_msg=[src=46, dest=0, size=5, addr=269184, type=DATA, fixed=None]: delay=3
out_msg=[src=46, dest=0, size=5, addr=269184, type=DATA, fixed=None]: in_msg=[src=0, dest=46, size=2, addr=269184, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=46, dest=0, size=5, addr=269184, type=DATA, fixed=None]: in_msg=[src=0, dest=45, size=2, addr=269120, type=GETX, fixed=None]: delay=24
