out_msg=None: in_msg=[src=0, dest=10, size=2, addr=422528, type=GET_INSTR, fixed=None]: delay=0
out_msg=[src=0, dest=10, size=2, addr=422528, type=GET_INSTR, fixed=None]: in_msg=[src=10, dest=0, size=2, addr=422528, type=GETS, fixed=des]: delay=4
out_msg=[src=10, dest=0, size=2, addr=422528, type=GETS, fixed=des]: in_msg=[src=0, dest=10, size=5, addr=422528, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=10, size=5, addr=422528, type=MEMORY_DATA, fixed=src]: in_msg=[src=10, dest=0, size=5, addr=422528, type=DATA, fixed=None]: delay=3
out_msg=[src=10, dest=0, size=5, addr=422528, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=536064, type=GETX, fixed=None]: delay=8
out_msg=[src=0, dest=56, size=2, addr=536064, type=GETX, fixed=None]: in_msg=[src=56, dest=0, size=5, addr=536064, type=DATA, fixed=None]: delay=72
out_msg=[src=56, dest=0, size=5, addr=536064, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=536064, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=56, dest=0, size=5, addr=536064, type=DATA, fixed=None]: in_msg=[src=0, dest=55, size=2, addr=536000, type=GETX, fixed=None]: delay=100
out_msg=[src=0, dest=55, size=2, addr=536000, type=GETX, fixed=None]: in_msg=[src=55, dest=63, size=2, addr=536000, type=GETS, fixed=des]: delay=4
out_msg=[src=55, dest=63, size=2, addr=536000, type=GETS, fixed=des]: in_msg=[src=63, dest=55, size=5, addr=536000, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=55, size=5, addr=536000, type=MEMORY_DATA, fixed=src]: in_msg=[src=55, dest=0, size=5, addr=536000, type=DATA, fixed=None]: delay=3
out_msg=[src=55, dest=0, size=5, addr=536000, type=DATA, fixed=None]: in_msg=[src=0, dest=55, size=2, addr=536000, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=55, dest=0, size=5, addr=536000, type=DATA, fixed=None]: in_msg=[src=0, dest=1, size=2, addr=426048, type=GET_INSTR, fixed=None]: delay=10
out_msg=[src=0, dest=1, size=2, addr=426048, type=GET_INSTR, fixed=None]: in_msg=[src=1, dest=0, size=2, addr=426048, type=GETS, fixed=des]: delay=4
out_msg=[src=1, dest=0, size=2, addr=426048, type=GETS, fixed=des]: in_msg=[src=0, dest=1, size=5, addr=426048, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=1, size=5, addr=426048, type=MEMORY_DATA, fixed=src]: in_msg=[src=1, dest=0, size=5, addr=426048, type=DATA, fixed=None]: delay=3
out_msg=[src=1, dest=0, size=5, addr=426048, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=535936, type=GETX, fixed=None]: delay=12
out_msg=[src=0, dest=54, size=2, addr=535936, type=GETX, fixed=None]: in_msg=[src=54, dest=63, size=2, addr=535936, type=GETS, fixed=des]: delay=4
out_msg=[src=54, dest=63, size=2, addr=535936, type=GETS, fixed=des]: in_msg=[src=63, dest=54, size=5, addr=535936, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=54, size=5, addr=535936, type=MEMORY_DATA, fixed=src]: in_msg=[src=54, dest=0, size=5, addr=535936, type=DATA, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=535936, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=535936, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=535936, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=527872, type=GETX, fixed=None]: delay=16
out_msg=[src=0, dest=56, size=2, addr=527872, type=GETX, fixed=None]: in_msg=[src=56, dest=0, size=5, addr=527872, type=DATA, fixed=None]: delay=72
out_msg=[src=56, dest=0, size=5, addr=527872, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=527872, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=56, dest=0, size=5, addr=527872, type=DATA, fixed=None]: in_msg=[src=0, dest=43, size=2, addr=527040, type=GETX, fixed=None]: delay=12
out_msg=[src=0, dest=43, size=2, addr=527040, type=GETX, fixed=None]: in_msg=[src=43, dest=56, size=2, addr=527040, type=GETS, fixed=des]: delay=4
out_msg=[src=43, dest=56, size=2, addr=527040, type=GETS, fixed=des]: in_msg=[src=56, dest=43, size=5, addr=527040, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=43, size=5, addr=527040, type=MEMORY_DATA, fixed=src]: in_msg=[src=43, dest=0, size=5, addr=527040, type=DATA, fixed=None]: delay=3
out_msg=[src=43, dest=0, size=5, addr=527040, type=DATA, fixed=None]: in_msg=[src=0, dest=43, size=2, addr=527040, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=43, dest=0, size=5, addr=527040, type=DATA, fixed=None]: in_msg=[src=0, dest=42, size=2, addr=522880, type=GETX, fixed=None]: delay=18
out_msg=[src=0, dest=42, size=2, addr=522880, type=GETX, fixed=None]: in_msg=[src=42, dest=56, size=2, addr=522880, type=GETS, fixed=des]: delay=4
out_msg=[src=42, dest=56, size=2, addr=522880, type=GETS, fixed=des]: in_msg=[src=56, dest=42, size=5, addr=522880, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=42, size=5, addr=522880, type=MEMORY_DATA, fixed=src]: in_msg=[src=42, dest=0, size=5, addr=522880, type=DATA, fixed=None]: delay=3
out_msg=[src=42, dest=0, size=5, addr=522880, type=DATA, fixed=None]: in_msg=[src=0, dest=42, size=2, addr=522880, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=42, dest=0, size=5, addr=522880, type=DATA, fixed=None]: in_msg=[src=0, dest=58, size=2, addr=523904, type=GETS, fixed=None]: delay=8
out_msg=[src=0, dest=58, size=2, addr=523904, type=GETS, fixed=None]: in_msg=[src=58, dest=56, size=2, addr=523904, type=GETS, fixed=des]: delay=4
out_msg=[src=58, dest=56, size=2, addr=523904, type=GETS, fixed=des]: in_msg=[src=56, dest=58, size=5, addr=523904, type=MEMORY_DATA, fixed=src]: delay=65
