out_msg=None: in_msg=[src=0, dest=10, size=2, addr=156288, type=GET_INSTR, fixed=None]: delay=0
out_msg=[src=0, dest=10, size=2, addr=156288, type=GET_INSTR, fixed=None]: in_msg=[src=10, dest=0, size=2, addr=156288, type=GETS, fixed=des]: delay=4
out_msg=[src=10, dest=0, size=2, addr=156288, type=GETS, fixed=des]: in_msg=[src=0, dest=10, size=5, addr=156288, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=10, size=5, addr=156288, type=MEMORY_DATA, fixed=src]: in_msg=[src=10, dest=0, size=5, addr=156288, type=DATA, fixed=None]: delay=3
out_msg=[src=10, dest=0, size=5, addr=156288, type=DATA, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=269632, type=GETX, fixed=None]: delay=8
out_msg=[src=0, dest=53, size=2, addr=269632, type=GETX, fixed=None]: in_msg=[src=53, dest=63, size=2, addr=269632, type=GETS, fixed=des]: delay=4
out_msg=[src=53, dest=63, size=2, addr=269632, type=GETS, fixed=des]: in_msg=[src=63, dest=53, size=5, addr=269632, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=53, size=5, addr=269632, type=MEMORY_DATA, fixed=src]: in_msg=[src=53, dest=0, size=5, addr=269632, type=DATA, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=269632, type=DATA, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=269632, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=269632, type=DATA, fixed=None]: in_msg=[src=0, dest=1, size=2, addr=159808, type=GET_INSTR, fixed=None]: delay=106
out_msg=[src=0, dest=1, size=2, addr=159808, type=GET_INSTR, fixed=None]: in_msg=[src=1, dest=0, size=2, addr=159808, type=GETS, fixed=des]: delay=4
out_msg=[src=1, dest=0, size=2, addr=159808, type=GETS, fixed=des]: in_msg=[src=0, dest=1, size=5, addr=159808, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=1, size=5, addr=159808, type=MEMORY_DATA, fixed=src]: in_msg=[src=1, dest=0, size=5, addr=159808, type=DATA, fixed=None]: delay=3
out_msg=[src=1, dest=0, size=5, addr=159808, type=DATA, fixed=None]: in_msg=[src=0, dest=51, size=2, addr=269504, type=GETX, fixed=None]: delay=12
out_msg=[src=0, dest=51, size=2, addr=269504, type=GETX, fixed=None]: in_msg=[src=51, dest=56, size=2, addr=269504, type=GETS, fixed=des]: delay=4
out_msg=[src=51, dest=56, size=2, addr=269504, type=GETS, fixed=des]: in_msg=[src=56, dest=51, size=5, addr=269504, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=51, size=5, addr=269504, type=MEMORY_DATA, fixed=src]: in_msg=[src=51, dest=0, size=5, addr=269504, type=DATA, fixed=None]: delay=3
out_msg=[src=51, dest=0, size=5, addr=269504, type=DATA, fixed=None]: in_msg=[src=0, dest=51, size=2, addr=269504, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=51, dest=0, size=5, addr=269504, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=261632, type=GETX, fixed=None]: delay=16
out_msg=[src=0, dest=56, size=2, addr=261632, type=GETX, fixed=None]: in_msg=[src=56, dest=0, size=5, addr=261632, type=DATA, fixed=None]: delay=72
out_msg=[src=56, dest=0, size=5, addr=261632, type=DATA, fixed=None]: in_msg=[src=0, dest=56, size=2, addr=261632, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=56, dest=0, size=5, addr=261632, type=DATA, fixed=None]: in_msg=[src=0, dest=43, size=2, addr=260800, type=GETX, fixed=None]: delay=12
out_msg=[src=0, dest=43, size=2, addr=260800, type=GETX, fixed=None]: in_msg=[src=43, dest=56, size=2, addr=260800, type=GETS, fixed=des]: delay=4
out_msg=[src=43, dest=56, size=2, addr=260800, type=GETS, fixed=des]: in_msg=[src=56, dest=43, size=5, addr=260800, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=43, size=5, addr=260800, type=MEMORY_DATA, fixed=src]: in_msg=[src=43, dest=0, size=5, addr=260800, type=DATA, fixed=None]: delay=3
out_msg=[src=43, dest=0, size=5, addr=260800, type=DATA, fixed=None]: in_msg=[src=0, dest=43, size=2, addr=260800, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=43, dest=0, size=5, addr=260800, type=DATA, fixed=None]: in_msg=[src=0, dest=42, size=2, addr=256640, type=GETX, fixed=None]: delay=18
out_msg=[src=0, dest=42, size=2, addr=256640, type=GETX, fixed=None]: in_msg=[src=42, dest=56, size=2, addr=256640, type=GETS, fixed=des]: delay=4
out_msg=[src=42, dest=56, size=2, addr=256640, type=GETS, fixed=des]: in_msg=[src=56, dest=42, size=5, addr=256640, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=42, size=5, addr=256640, type=MEMORY_DATA, fixed=src]: in_msg=[src=42, dest=0, size=5, addr=256640, type=DATA, fixed=None]: delay=3
out_msg=[src=42, dest=0, size=5, addr=256640, type=DATA, fixed=None]: in_msg=[src=0, dest=42, size=2, addr=256640, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=42, dest=0, size=5, addr=256640, type=DATA, fixed=None]: in_msg=[src=0, dest=58, size=2, addr=257664, type=GETS, fixed=None]: delay=8
out_msg=[src=0, dest=58, size=2, addr=257664, type=GETS, fixed=None]: in_msg=[src=58, dest=56, size=2, addr=257664, type=GETS, fixed=des]: delay=4
out_msg=[src=58, dest=56, size=2, addr=257664, type=GETS, fixed=des]: in_msg=[src=56, dest=58, size=5, addr=257664, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=58, size=5, addr=257664, type=MEMORY_DATA, fixed=src]: in_msg=[src=58, dest=0, size=5, addr=257664, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=58, dest=0, size=5, addr=257664, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=58, size=2, addr=257664, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=58, dest=0, size=5, addr=257664, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=2, size=2, addr=159872, type=GET_INSTR, fixed=None]: delay=8
out_msg=[src=0, dest=2, size=2, addr=159872, type=GET_INSTR, fixed=None]: in_msg=[src=2, dest=0, size=2, addr=159872, type=GETS, fixed=des]: delay=4
out_msg=[src=2, dest=0, size=2, addr=159872, type=GETS, fixed=des]: in_msg=[src=0, dest=2, size=5, addr=159872, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=2, size=5, addr=159872, type=MEMORY_DATA, fixed=src]: in_msg=[src=2, dest=0, size=5, addr=159872, type=DATA, fixed=None]: delay=3
out_msg=[src=2, dest=0, size=5, addr=159872, type=DATA, fixed=None]: in_msg=[src=0, dest=44, size=2, addr=260864, type=GETX, fixed=None]: delay=6
out_msg=[src=0, dest=44, size=2, addr=260864, type=GETX, fixed=None]: in_msg=[src=44, dest=63, size=2, addr=260864, type=GETS, fixed=des]: delay=4
out_msg=[src=44, dest=63, size=2, addr=260864, type=GETS, fixed=des]: in_msg=[src=63, dest=44, size=5, addr=260864, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=44, size=5, addr=260864, type=MEMORY_DATA, fixed=src]: in_msg=[src=44, dest=0, size=5, addr=260864, type=DATA, fixed=None]: delay=3
out_msg=[src=44, dest=0, size=5, addr=260864, type=DATA, fixed=None]: in_msg=[src=0, dest=44, size=2, addr=260864, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=44, dest=0, size=5, addr=260864, type=DATA, fixed=None]: in_msg=[src=0, dest=3, size=2, addr=159936, type=GET_INSTR, fixed=None]: delay=40
out_msg=[src=0, dest=3, size=2, addr=159936, type=GET_INSTR, fixed=None]: in_msg=[src=3, dest=0, size=2, addr=159936, type=GETS, fixed=des]: delay=4
out_msg=[src=3, dest=0, size=2, addr=159936, type=GETS, fixed=des]: in_msg=[src=0, dest=3, size=5, addr=159936, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=3, size=5, addr=159936, type=MEMORY_DATA, fixed=src]: in_msg=[src=3, dest=0, size=5, addr=159936, type=DATA, fixed=None]: delay=3
out_msg=[src=3, dest=0, size=5, addr=159936, type=DATA, fixed=None]: in_msg=[src=0, dest=46, size=2, addr=260992, type=GETX, fixed=None]: delay=10
out_msg=[src=0, dest=46, size=2, addr=260992, type=GETX, fixed=None]: in_msg=[src=46, dest=63, size=2, addr=260992, type=GETS, fixed=des]: delay=4
out_msg=[src=46, dest=63, size=2, addr=260992, type=GETS, fixed=des]: in_msg=[src=63, dest=46, size=5, addr=260992, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=46, size=5, addr=260992, type=MEMORY_DATA, fixed=src]: in_msg=[src=46, dest=0, size=5, addr=260992, type=DATA, fixed=None]: delay=3
out_msg=[src=46, dest=0, size=5, addr=260992, type=DATA, fixed=None]: in_msg=[src=0, dest=46, size=2, addr=260992, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=46, dest=0, size=5, addr=260992, type=DATA, fixed=None]: in_msg=[src=0, dest=45, size=2, addr=260928, type=GETX, fixed=None]: delay=24
out_msg=[src=0, dest=45, size=2, addr=260928, type=GETX, fixed=None]: in_msg=[src=45, dest=63, size=2, addr=260928, type=GETS, fixed=des]: delay=4
out_msg=[src=45, dest=63, size=2, addr=260928, type=GETS, fixed=des]: in_msg=[src=63, dest=45, size=5, addr=260928, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=45, size=5, addr=260928, type=MEMORY_DATA, fixed=src]: in_msg=[src=45, dest=0, size=5, addr=260928, type=DATA, fixed=None]: delay=3
out_msg=[src=45, dest=0, size=5, addr=260928, type=DATA, fixed=None]: in_msg=[src=0, dest=45, size=2, addr=260928, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=45, dest=0, size=5, addr=260928, type=DATA, fixed=None]: in_msg=[src=0, dest=4, size=2, addr=160000, type=GET_INSTR, fixed=None]: delay=44
out_msg=[src=0, dest=4, size=2, addr=160000, type=GET_INSTR, fixed=None]: in_msg=[src=4, dest=7, size=2, addr=160000, type=GETS, fixed=des]: delay=4
out_msg=[src=4, dest=7, size=2, addr=160000, type=GETS, fixed=des]: in_msg=[src=7, dest=4, size=5, addr=160000, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=4, size=5, addr=160000, type=MEMORY_DATA, fixed=src]: in_msg=[src=4, dest=0, size=5, addr=160000, type=DATA, fixed=None]: delay=3
out_msg=[src=4, dest=0, size=5, addr=160000, type=DATA, fixed=None]: in_msg=[src=0, dest=23, size=2, addr=161216, type=GET_INSTR, fixed=None]: delay=14
out_msg=[src=0, dest=23, size=2, addr=161216, type=GET_INSTR, fixed=None]: in_msg=[src=23, dest=7, size=2, addr=161216, type=GETS, fixed=des]: delay=4
out_msg=[src=23, dest=7, size=2, addr=161216, type=GETS, fixed=des]: in_msg=[src=7, dest=23, size=5, addr=161216, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=23, size=5, addr=161216, type=MEMORY_DATA, fixed=src]: in_msg=[src=23, dest=0, size=5, addr=161216, type=DATA, fixed=None]: delay=3
out_msg=[src=23, dest=0, size=5, addr=161216, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=261504, type=GETX, fixed=None]: delay=26
out_msg=[src=0, dest=54, size=2, addr=261504, type=GETX, fixed=None]: in_msg=[src=54, dest=63, size=2, addr=261504, type=GETS, fixed=des]: delay=4
out_msg=[src=54, dest=63, size=2, addr=261504, type=GETS, fixed=des]: in_msg=[src=63, dest=54, size=5, addr=261504, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=54, size=5, addr=261504, type=MEMORY_DATA, fixed=src]: in_msg=[src=54, dest=0, size=5, addr=261504, type=DATA, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=261504, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=261504, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=261504, type=DATA, fixed=None]: in_msg=[src=0, dest=59, size=2, addr=257728, type=GETS, fixed=None]: delay=30
out_msg=[src=0, dest=59, size=2, addr=257728, type=GETS, fixed=None]: in_msg=[src=59, dest=56, size=2, addr=257728, type=GETS, fixed=des]: delay=4
out_msg=[src=59, dest=56, size=2, addr=257728, type=GETS, fixed=des]: in_msg=[src=56, dest=59, size=5, addr=257728, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=59, size=5, addr=257728, type=MEMORY_DATA, fixed=src]: in_msg=[src=59, dest=0, size=5, addr=257728, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=59, dest=0, size=5, addr=257728, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=59, size=2, addr=257728, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=59, dest=0, size=5, addr=257728, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=60, size=2, addr=257792, type=GETS, fixed=None]: delay=84
out_msg=[src=0, dest=60, size=2, addr=257792, type=GETS, fixed=None]: in_msg=[src=60, dest=63, size=2, addr=257792, type=GETS, fixed=des]: delay=4
out_msg=[src=60, dest=63, size=2, addr=257792, type=GETS, fixed=des]: in_msg=[src=63, dest=60, size=5, addr=257792, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=60, size=5, addr=257792, type=MEMORY_DATA, fixed=src]: in_msg=[src=60, dest=0, size=5, addr=257792, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=60, dest=0, size=5, addr=257792, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=60, size=2, addr=257792, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=60, dest=0, size=5, addr=257792, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=47, size=2, addr=261056, type=GETX, fixed=None]: delay=38
out_msg=[src=0, dest=47, size=2, addr=261056, type=GETX, fixed=None]: in_msg=[src=47, dest=63, size=2, addr=261056, type=GETS, fixed=des]: delay=4
out_msg=[src=47, dest=63, size=2, addr=261056, type=GETS, fixed=des]: in_msg=[src=63, dest=47, size=5, addr=261056, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=47, size=5, addr=261056, type=MEMORY_DATA, fixed=src]: in_msg=[src=47, dest=0, size=5, addr=261056, type=DATA, fixed=None]: delay=3
out_msg=[src=47, dest=0, size=5, addr=261056, type=DATA, fixed=None]: in_msg=[src=0, dest=47, size=2, addr=261056, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=47, dest=0, size=5, addr=261056, type=DATA, fixed=None]: in_msg=[src=0, dest=61, size=2, addr=257856, type=GETS, fixed=None]: delay=50
out_msg=[src=0, dest=61, size=2, addr=257856, type=GETS, fixed=None]: in_msg=[src=61, dest=63, size=2, addr=257856, type=GETS, fixed=des]: delay=4
out_msg=[src=61, dest=63, size=2, addr=257856, type=GETS, fixed=des]: in_msg=[src=63, dest=61, size=5, addr=257856, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=61, size=5, addr=257856, type=MEMORY_DATA, fixed=src]: in_msg=[src=61, dest=0, size=5, addr=257856, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=61, dest=0, size=5, addr=257856, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=61, size=2, addr=257856, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=61, dest=0, size=5, addr=257856, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=49, size=2, addr=261184, type=GETX, fixed=None]: delay=76
out_msg=[src=0, dest=49, size=2, addr=261184, type=GETX, fixed=None]: in_msg=[src=49, dest=56, size=2, addr=261184, type=GETS, fixed=des]: delay=4
out_msg=[src=49, dest=56, size=2, addr=261184, type=GETS, fixed=des]: in_msg=[src=56, dest=49, size=5, addr=261184, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=49, size=5, addr=261184, type=MEMORY_DATA, fixed=src]: in_msg=[src=49, dest=0, size=5, addr=261184, type=DATA, fixed=None]: delay=3
out_msg=[src=49, dest=0, size=5, addr=261184, type=DATA, fixed=None]: in_msg=[src=0, dest=49, size=2, addr=261184, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=49, dest=0, size=5, addr=261184, type=DATA, fixed=None]: in_msg=[src=0, dest=62, size=2, addr=257920, type=GETS, fixed=None]: delay=48
out_msg=[src=0, dest=62, size=2, addr=257920, type=GETS, fixed=None]: in_msg=[src=62, dest=63, size=2, addr=257920, type=GETS, fixed=des]: delay=4
out_msg=[src=62, dest=63, size=2, addr=257920, type=GETS, fixed=des]: in_msg=[src=63, dest=62, size=5, addr=257920, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=62, size=5, addr=257920, type=MEMORY_DATA, fixed=src]: in_msg=[src=62, dest=0, size=5, addr=257920, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=62, dest=0, size=5, addr=257920, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=62, size=2, addr=257920, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=62, dest=0, size=5, addr=257920, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=51, size=2, addr=261312, type=GETX, fixed=None]: delay=36
out_msg=[src=0, dest=51, size=2, addr=261312, type=GETX, fixed=None]: in_msg=[src=51, dest=56, size=2, addr=261312, type=GETS, fixed=des]: delay=4
out_msg=[src=51, dest=56, size=2, addr=261312, type=GETS, fixed=des]: in_msg=[src=56, dest=51, size=5, addr=261312, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=51, size=5, addr=261312, type=MEMORY_DATA, fixed=src]: in_msg=[src=51, dest=0, size=5, addr=261312, type=DATA, fixed=None]: delay=3
out_msg=[src=51, dest=0, size=5, addr=261312, type=DATA, fixed=None]: in_msg=[src=0, dest=51, size=2, addr=261312, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=51, dest=0, size=5, addr=261312, type=DATA, fixed=None]: in_msg=[src=0, dest=5, size=2, addr=160064, type=GET_INSTR, fixed=None]: delay=72
out_msg=[src=0, dest=5, size=2, addr=160064, type=GET_INSTR, fixed=None]: in_msg=[src=5, dest=7, size=2, addr=160064, type=GETS, fixed=des]: delay=4
out_msg=[src=5, dest=7, size=2, addr=160064, type=GETS, fixed=des]: in_msg=[src=7, dest=5, size=5, addr=160064, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=5, size=5, addr=160064, type=MEMORY_DATA, fixed=src]: in_msg=[src=5, dest=0, size=5, addr=160064, type=DATA, fixed=None]: delay=3
out_msg=[src=5, dest=0, size=5, addr=160064, type=DATA, fixed=None]: in_msg=[src=0, dest=6, size=2, addr=160128, type=GET_INSTR, fixed=None]: delay=76
out_msg=[src=0, dest=6, size=2, addr=160128, type=GET_INSTR, fixed=None]: in_msg=[src=6, dest=7, size=2, addr=160128, type=GETS, fixed=des]: delay=4
out_msg=[src=6, dest=7, size=2, addr=160128, type=GETS, fixed=des]: in_msg=[src=7, dest=6, size=5, addr=160128, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=6, size=5, addr=160128, type=MEMORY_DATA, fixed=src]: in_msg=[src=6, dest=0, size=5, addr=160128, type=DATA, fixed=None]: delay=3
out_msg=[src=6, dest=0, size=5, addr=160128, type=DATA, fixed=None]: in_msg=[src=0, dest=7, size=2, addr=160192, type=GET_INSTR, fixed=None]: delay=76
out_msg=[src=0, dest=7, size=2, addr=160192, type=GET_INSTR, fixed=None]: in_msg=[src=7, dest=0, size=5, addr=160192, type=DATA, fixed=None]: delay=72
out_msg=[src=7, dest=0, size=5, addr=160192, type=DATA, fixed=None]: in_msg=[src=0, dest=48, size=2, addr=261120, type=GETS, fixed=None]: delay=48
out_msg=[src=0, dest=48, size=2, addr=261120, type=GETS, fixed=None]: in_msg=[src=48, dest=56, size=2, addr=261120, type=GETS, fixed=des]: delay=4
out_msg=[src=48, dest=56, size=2, addr=261120, type=GETS, fixed=des]: in_msg=[src=56, dest=48, size=5, addr=261120, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=48, size=5, addr=261120, type=MEMORY_DATA, fixed=src]: in_msg=[src=48, dest=0, size=5, addr=261120, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=48, dest=0, size=5, addr=261120, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=48, size=2, addr=261120, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=48, dest=0, size=5, addr=261120, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=8, size=2, addr=160256, type=GET_INSTR, fixed=None]: delay=12
out_msg=[src=0, dest=8, size=2, addr=160256, type=GET_INSTR, fixed=None]: in_msg=[src=8, dest=0, size=2, addr=160256, type=GETS, fixed=des]: delay=4
